name,gender
Dayamayi,F
Dayanita,F
Dayita,F
Debanshi,F
Deborah,F
Deeba,F
Deeher,F
Deeksha,F
Deekshita,F
Deena,F
Deepa,F
Deepabali,F
Deepakala,F
Deepal,F
Deepali,F
Deepamala,F
Deepana,F
Deepanwita,F
Deepaprabha,F
Deepashikha,F
Deepavati,F
Deepika,F
Deepitha,F
Deepshika,F
Deepta,F
Deeptha,F
Deepti,F
Deeptikana,F
Deeptimoyee,F
Deeta,F
Deetya,F
Deleena,F
Demira,F
Deshika,F
Deshna,F
Desna,F
Devadarshini,F
Devahuti,F
Devakali,F
Devakanya,F
Devaki,F
Devakiri,F
Devalatha,F
Devalekha,F
Devamati,F
Devamayi,F
Devangana,F
Devangi,F
Devani,F
Devanshi,F
Devapriya,F
Devashree,F
Devasmitha,F
Devasree,F
Deveshi,F
Devi,F
Devika,F
Devina,F
Devishi,F
Devkanya,F
Devki,F
Devmani,F
Devna,F
Devyani,F
Dhanadhanyaki,F
Dhanalakshmi,F
Dhanapriya,F
Dhanashri,F
Dhani,F
Dhanishta,F
Dhanvanti,F
Dhanvi,F
Dhanya,F
Dhanyata,F
Dhara,F
Dharani,F
Dharini,F
Dharitri,F
Dhariya,F
Dharmista,F
Dharnitha,F
Dharshaneeya,F
Dharti,F
Dharuna,F
Dhatri,F
Dhavni,F
Dheeptha,F
Dheera,F
Dhimahi,F
Dhitha,F
Dhithi,F
Dhlriti,F
Dhriti,F
Dhriya,F
Dhruti,F
Dhruva,F
Dhruvi,F
Dhruvika,F
Dhuthi,F
Dhuti,F
Dhvani,F
Digambari,F
Diksha,F
Dikshya,F
Diksitha,F
Dilber,F
Dilshad,F
Dimpal,F
Dimpi,F
Dipal,F
Dipali,F
Dipasha,F
Dipashri,F
Dipti,F
Disha,F
Dishi,F
Dishita,F
Diti,F
Divena,F
Divija,F
Divya,F
Divyana,F
Divyanshi,F
Divyasri,F
Diya,F
Diyu,F
Doyel,F
Draupadi,F
Drisana,F
Drishti,F
Drishya,F
Drishyana,F
Dristi,F
Driti,F
Druthi,F
Druti,F
Dulari,F
Durga,F
Durva,F
Dwani,F
Dwipavati,F
Dyumna,F
Dyuthi,F
Dyuti,F
Ecchumati,F
Edha,F
Edhitha,F
Eesha,F
Ehimaya,F
Eila,F
Eiravati,F
Eka,F
Ekaa,F
Ekadhana,F
Ekaja,F
Ekani,F
Ekanta,F
Ekantha,F
Ekanthika,F
Ekantika,F
Ekaparana,F
Ekaparnika,F
Ekavali,F
Ekisha,F
Ekta,F
Ekvira,F
Ela,F
Elampirai,F
Elavarasi,F
Elili,F
Elina,F
Enakshi,F
Esha,F
Eshana,F
Eshani,F
Eshanika,F
Eshanka,F
Eshanya,F
Eshika,F
Eshita,F
Eta,F
Eva,F
Fajyaz,F
Falguni,F
Farha,F
Faria,F
Farida,F
Fawiza,F
Firaki,F
Firoza,F
Foolan,F
